s_lat,s_lon,s_country_id,s_country,e_lat,e_lon,e_country,e_vol,total,48Percentage
46,-112,1,USA,-26,134,Australia,1,140379442,34.22%
46,-112,1,USA,51,5,Belgium,1,108107471,29.25%
46,-112,1,USA,-11,-53,Brazil,1,105839735,35.43%
46,-112,1,USA,61,-98,Canada,1,4738055849,51.67%
46,-112,1,USA,-38,-71,Chile,1,146111336,71.87%
46,-112,1,USA,37,104,China,1,700315925,10.31%
46,-112,1,USA,22,114,"China, Hong Kong SAR",1,84934701,41.15%
46,-112,1,USA,4,-73,Colombia,1,127497649,56.96%
46,-112,1,USA,10,-84,Costa Rica,1,195076380,86.71%
46,-112,1,USA,19,-71,Dominican Rep.,1,196294887,67.01%
46,-112,1,USA,46,3,France,1,95552910,40.63%
46,-112,1,USA,51,10,Germany,1,213948047,33.95%
46,-112,1,USA,16,-90,Guatemala,1,196673660,90.24%
46,-112,1,USA,23,80,India,1,148022701,21.36%
46,-112,1,USA,-2,117,Indonesia,1,50808628,12.81%
46,-112,1,USA,43,12,Italy,1,229095599,36.95%
46,-112,1,USA,38,138,Japan,1,609523828,32.36%
46,-112,1,USA,24,-103,Mexico,1,3803942157,66.31%
46,-112,1,USA,52,5,Netherlands,1,207239479,44.39%
46,-112,1,USA,12,123,Philippines,1,101960202,54.63%
46,-112,1,USA,36,128,Rep. of Korea,1,271977174,35.31%
46,-112,1,USA,24,45,Saudi Arabia,1,73927505,40.34%
46,-112,1,USA,40,-4,Spain,1,139361623,41.38%
46,-112,1,USA,15,101,Thailand,1,53231730,26.27%
46,-112,1,USA,39,35,Turkey,1,130934631,35.74%
46,-112,1,USA,54,-3,United Kingdom,1,366224688,21.02%
46,-112,1,USA,17,106,Viet Nam,1,21069867,6.76%
48,14,2,Austria,-26,134,Australia,,34716687,33.34%
48,14,2,Austria,51,5,Belgium,,132801852,80.06%
48,14,2,Austria,61,-98,Canada,,9846492,14.86%
48,14,2,Austria,37,104,China,,43238235,39.89%
48,14,2,Austria,45,16,Croatia,,53273392,38.97%
48,14,2,Austria,50,15,Czechia,,183211531,51.48%
48,14,2,Austria,46,3,France,,192612662,45.74%
48,14,2,Austria,51,10,Germany,,1410569587,45.27%
48,14,2,Austria,47,19,Hungary,,194150329,68.08%
48,14,2,Austria,43,12,Italy,,363655191,20.69%
48,14,2,Austria,38,138,Japan,,5205257,2.06%
48,14,2,Austria,24,-103,Mexico,,45274513,64.41%
48,14,2,Austria,52,5,Netherlands,,114353629,57.73%
48,14,2,Austria,52,19,Poland,,281609077,75.98%
48,14,2,Austria,46,25,Romania,,108399194,70.50%
48,14,2,Austria,62,97,Russian Federation,,86493279,79.34%
48,14,2,Austria,44,21,Serbia,,41527142,55.00%
48,14,2,Austria,49,19,Slovakia,,80255560,49.58%
48,14,2,Austria,46,15,Slovenia,,214743415,37.58%
48,14,2,Austria,40,-4,Spain,,86207841,59.49%
48,14,2,Austria,47,8,Switzerland,,304815747,38.86%
48,14,2,Austria,39,35,Turkey,,51207136,57.35%
48,14,2,Austria,54,-3,United Kingdom,,160091148,65.87%
48,14,2,Austria,46,-112,USA,,78378134,44.47%
61,-98,3,Canada,37,104,China,,36737895,1.01%
61,-98,3,Canada,23,80,India,,210888235,56.85%
61,-98,3,Canada,-2,117,Indonesia,,1328339,0.44%
61,-98,3,Canada,38,138,Japan,,5489237,0.50%
61,-98,3,Canada,24,-103,Mexico,,92422403,57.84%
61,-98,3,Canada,36,128,Rep. of Korea,,5218257,1.44%
61,-98,3,Canada,54,-3,United Kingdom,,113335872,27.55%
61,-98,3,Canada,46,-112,USA,,6115238842,32.46%
37,104,4,China,-26,134,Australia,,662609879,56.02%
37,104,4,China,24,90,Bangladesh,,211043695,90.11%
37,104,4,China,51,5,Belgium,,93921985,26.88%
37,104,4,China,-11,-53,Brazil,,143486454,70.20%
37,104,4,China,61,-98,Canada,,272141526,33.76%
37,104,4,China,-38,-71,Chile,,118121751,59.68%
37,104,4,China,22,114,"China, Hong Kong SAR",,1317141928,55.44%
37,104,4,China,26,30,Egypt,,131120267,55.10%
37,104,4,China,46,3,France,,176184823,37.19%
37,104,4,China,51,10,Germany,,253313698,30.12%
37,104,4,China,23,80,India,,519910926,66.78%
37,104,4,China,-2,117,Indonesia,,277090520,72.43%
37,104,4,China,33,54,Iran,,416513138,79.49%
37,104,4,China,33,44,Iraq,,130763763,58.17%
37,104,4,China,31,35,Israel,,102048990,36.19%
37,104,4,China,43,12,Italy,,171721909,43.20%
37,104,4,China,38,138,Japan,,1150692733,41.71%
37,104,4,China,4,110,Malaysia,,702543175,73.87%
37,104,4,China,24,-103,Mexico,,175464511,47.08%
37,104,4,China,52,5,Netherlands,,221034706,33.83%
37,104,4,China,10,8,Nigeria,,190441514,59.24%
37,104,4,China,30,69,Pakistan,,234957203,78.78%
37,104,4,China,12,123,Philippines,,337107862,46.94%
37,104,4,China,52,19,Poland,,89346956,46.65%
