s_lat,s_lon,s_country_id,s_country,e_lat,e_lon,e_country,e_vol,total,49Percentage
46,-112,1,USA,-26,134,Australia,1,136083631,33.18%
46,-112,1,USA,51,5,Belgium,1,16105779,4.36%
46,-112,1,USA,-11,-53,Brazil,1,35761624,11.97%
46,-112,1,USA,61,-98,Canada,1,1964626742,21.42%
46,-112,1,USA,-38,-71,Chile,1,16251310,7.99%
46,-112,1,USA,37,104,China,1,170521288,2.51%
46,-112,1,USA,22,114,"China, Hong Kong SAR",1,57360361,27.79%
46,-112,1,USA,4,-73,Colombia,1,19219633,8.59%
46,-112,1,USA,10,-84,Costa Rica,1,14875416,6.61%
46,-112,1,USA,19,-71,Dominican Rep.,1,13428073,4.58%
46,-112,1,USA,46,3,France,1,40045722,17.03%
46,-112,1,USA,51,10,Germany,1,93297167,14.81%
46,-112,1,USA,16,-90,Guatemala,1,5193196,2.38%
46,-112,1,USA,23,80,India,1,57937088,8.36%
46,-112,1,USA,-2,117,Indonesia,1,7155682,1.80%
46,-112,1,USA,43,12,Italy,1,44497536,7.18%
46,-112,1,USA,38,138,Japan,1,110840641,5.88%
46,-112,1,USA,24,-103,Mexico,1,432484439,7.54%
46,-112,1,USA,52,5,Netherlands,1,61674542,13.21%
46,-112,1,USA,12,123,Philippines,1,24087075,12.91%
46,-112,1,USA,36,128,Rep. of Korea,1,36369531,4.72%
46,-112,1,USA,24,45,Saudi Arabia,1,27974245,15.26%
46,-112,1,USA,40,-4,Spain,1,22229694,6.60%
46,-112,1,USA,15,101,Thailand,1,12598490,6.22%
46,-112,1,USA,39,35,Turkey,1,4616827,1.26%
46,-112,1,USA,54,-3,United Kingdom,1,602622986,34.59%
46,-112,1,USA,17,106,Viet Nam,1,3997341,1.28%
48,14,2,Austria,-26,134,Australia,,881716,0.85%
48,14,2,Austria,51,5,Belgium,,4245827,2.56%
48,14,2,Austria,61,-98,Canada,,840793,1.27%
48,14,2,Austria,37,104,China,,7031087,6.49%
48,14,2,Austria,45,16,Croatia,,1652248,1.21%
48,14,2,Austria,50,15,Czechia,,14958384,4.20%
48,14,2,Austria,46,3,France,,8085608,1.92%
48,14,2,Austria,51,10,Germany,,263093489,8.44%
48,14,2,Austria,47,19,Hungary,,10605970,3.72%
48,14,2,Austria,43,12,Italy,,22110827,1.26%
48,14,2,Austria,38,138,Japan,,714733,0.28%
48,14,2,Austria,24,-103,Mexico,,2529836,3.60%
48,14,2,Austria,52,5,Netherlands,,15552797,7.85%
48,14,2,Austria,52,19,Poland,,5885408,1.59%
48,14,2,Austria,46,25,Romania,,2840391,1.85%
48,14,2,Austria,62,97,Russian Federation,,1579826,1.45%
48,14,2,Austria,44,21,Serbia,,4730310,6.26%
48,14,2,Austria,49,19,Slovakia,,5535800,3.42%
48,14,2,Austria,46,15,Slovenia,,9896311,1.73%
48,14,2,Austria,40,-4,Spain,,2743326,1.89%
48,14,2,Austria,47,8,Switzerland,,66354632,8.46%
48,14,2,Austria,39,35,Turkey,,2395036,2.68%
48,14,2,Austria,54,-3,United Kingdom,,5494124,2.26%
48,14,2,Austria,46,-112,USA,,8797764,4.99%
61,-98,3,Canada,37,104,China,,1189395,0.03%
